State,District,English Name,Scientific Name,Observation Count,Frequency Rank
Mizoram,Mizoram (Statewide),Red-vented Bulbul,Pycnonotus cafer,2066,1
Mizoram,Mizoram (Statewide),Blue-throated Barbet,Psilopogon asiaticus,1918,2
Mizoram,Mizoram (Statewide),Yellow-browed Warbler,Phylloscopus inornatus,1390,3
Mizoram,Mizoram (Statewide),Common Tailorbird,Orthotomus sutorius,1317,4
Mizoram,Mizoram (Statewide),Black-crested Bulbul,Rubigula flaviventris,1316,5
Mizoram,Mizoram (Statewide),Gray Sibia,Heterophasia gracilis,1169,6
Mizoram,Mizoram (Statewide),Bronzed Drongo,Dicrurus aeneus,1164,7
Mizoram,Mizoram (Statewide),Flavescent Bulbul,Pycnonotus flavescens,1116,8
Mizoram,Mizoram (Statewide),Eastern Red-rumped Swallow,Cecropis daurica,1093,9
Mizoram,Mizoram (Statewide),Great Barbet,Psilopogon virens,1086,10
Mizoram,Mizoram (Statewide),Olive-backed Pipit,Anthus hodgsoni,1009,11
Mizoram,Mizoram (Statewide),Ashy Drongo,Dicrurus leucophaeus,937,12
Mizoram,Mizoram (Statewide),Little Spiderhunter,Arachnothera longirostra,930,13
Mizoram,Mizoram (Statewide),Pin-striped Tit-Babbler,Mixornis gularis,860,14
Mizoram,Mizoram (Statewide),Buff-barred Warbler,Phylloscopus pulcher,816,15
Mizoram,Mizoram (Statewide),Indian White-eye,Zosterops palpebrosus,814,16
Mizoram,Mizoram (Statewide),Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,789,17
Mizoram,Mizoram (Statewide),Black-naped Monarch,Hypothymis azurea,764,18
Mizoram,Mizoram (Statewide),Eurasian Tree Sparrow,Passer montanus,753,19
Mizoram,Mizoram (Statewide),Blyth's Leaf Warbler,Phylloscopus reguloides,699,20
Mizoram,Mizoram (Statewide),White-throated Fantail,Rhipidura albicollis,689,21
Mizoram,Mizoram (Statewide),Gray Bushchat,Saxicola ferreus,676,22
Mizoram,Mizoram (Statewide),Streaked Spiderhunter,Arachnothera magna,672,23
Mizoram,Mizoram (Statewide),White-throated Bulbul,Alophoixus flaveolus,664,24
Mizoram,Mizoram (Statewide),Puff-throated Babbler,Pellorneum ruficeps,639,25
Mizoram,Mizoram (Statewide),Nepal Fulvetta,Alcippe nipalensis,626,26
Mizoram,Mizoram (Statewide),Plain Flowerpecker,Dicaeum minullum,613,27
