English Name,Image File Name,Mizo Name,Image Link,,,Category
Red-vented Bulbul,Red-vented Bulbul.png,Tlaiberh,https://drive.google.com/file/d/0B2IRT-hfS6uXQ0FJMWljMGtYUzQ/view?usp=drivesdk&resourcekey=0-Qc8kM3Sc46of_azxXIAeGw,,,Arboreal Birds
Blue-throated Barbet,Blue throated barbet.png,Tuklo,https://drive.google.com/file/d/16A6_XkIvvlHvMLOGMa2_eRJ73jsWMSwf/view?usp=drivesdk,,,Arboreal Birds
Yellow-browed Warbler,Yellow-browed Warbler.png,Vate-thlarang,https://drive.google.com/file/d/1-2DSGjIjX2r0wPhZcKeCzSw4tqJOq4K_/view?usp=drivesdk,,,Arboreal Birds
Common Tailorbird,Common Tailorbird.png,Daikat,https://drive.google.com/file/d/0B2IRT-hfS6uXbTlNaWxSd0paRE0/view?usp=drivesdk&resourcekey=0-8HqV13LNU4DdagJ1jpZuQQ,,,Arboreal Birds
Black-crested Bulbul,Black crested bulbul.png,Tukhumvilik,https://drive.google.com/file/d/1qPFfXPtNDYbvOV3iBn_64ug-mskGIBl1/view?usp=drivesdk,,,Arboreal Birds
Gray Sibia,Grey Sibia.png,Vasir,https://drive.google.com/file/d/1vezgu4ApzhNr7Ig8AT4d08267nWt65C3/view?usp=drivesdk,,,Arboreal Birds
Bronzed Drongo,bronze drongo M.png,Kakpawl,https://drive.google.com/file/d/0B2IRT-hfS6uXbFNsVmd4ZUhKb2c/view?usp=drivesdk&resourcekey=0-8Na2JWEmD4U6CLdI8amhbA,,,Aerial Feeders
Flavescent Bulbul,Flavescent Bulbul.png,Seṭawt,https://drive.google.com/file/d/1KCno0X9WYQa8NvK8G5q6U4OQPzPiibz3/view?usp=drivesdk,,,Arboreal Birds
Eastern Red-rumped Swallow,Red-necked Falcon.png,Pengleng,https://drive.google.com/file/d/1FUxMlivzQWVY2LbXd3MZSzpss3qsbezo/view?usp=drivesdk,,,Aerial Feeders
Great Barbet,Great barbet.png,Tawllawt,https://drive.google.com/file/d/1cmhPlJ3DeteqbU-5EY1PijWQDXIdYADu/view?usp=drivesdk,,,Arboreal Birds
Olive-backed Pipit,Olive backed pipit.png,Chip,https://drive.google.com/file/d/1Co5RSCM8I8lMk_-n9t4AMtrnSPyR-PfF/view?usp=drivesdk,,,Ground-feeding Birds
Ashy Drongo,Ashy Drongo.png,Thlanthla,https://drive.google.com/file/d/0B2IRT-hfS6uXaXRIWUtuTldlVGc/view?usp=drivesdk&resourcekey=0-KQL9OW_CNTlXGz8wtyJuxw,,,Aerial Feeders
Little Spiderhunter,Little spiderhunter.png,Tumbu-ar,https://drive.google.com/file/d/0B2IRT-hfS6uXT2FUZGNOZDhCMDg/view?usp=drivesdk&resourcekey=0-azQtpaVIHA2zogfwWbTZew,,,Arboreal Birds
Pin-striped Tit-Babbler,Pin striped tit babbler.png,Vate-awm-eng,https://drive.google.com/file/d/1tfHmnnC5XfgVplMQi6wkMPyx2WYWcB13/view?usp=drivesdk,,,Arboreal Birds
Buff-barred Warbler,Buff-barred Warbler.png,Chiai,https://drive.google.com/file/d/0B2IRT-hfS6uXSnh2YjNhNExuekk/view?usp=drivesdk&resourcekey=0-QkZH1WdSQcahLPO_kkIHFQ,,,Arboreal Birds
Indian White-eye,White-browed Fulvetta_chumbiensis.png,Mitval,https://drive.google.com/file/d/1E6I4nkuKrGDmsLYxYBvLZXGAhXp6gFQc/view?usp=drivesdk,,,Arboreal Birds
Gray-headed Canary-Flycatcher,Greay headed canary flycatcher.png,Vateluṭuak,https://drive.google.com/file/d/1NJetcq_Zj8IU__W--zsiqCGBKlSleQRd/view?usp=drivesdk,,,Aerial Feeders
Black-naped Monarch,Black-naped Monarch.png,,https://drive.google.com/file/d/0B2IRT-hfS6uXa2h3V2RyXzJMNjg/view?usp=drivesdk&resourcekey=0-VLEeVwHDpoSCq0ppIXV7eQ,,,Aerial Feeders
Eurasian Tree Sparrow,Eurasian Tree Sparrow_malccensis.png,,https://drive.google.com/file/d/1F8rGUbFCQXNuTFWr83lEN_xlFU4srxiD/view?usp=drivesdk,,,Arboreal Birds
Blyth's Leaf Warbler,Blyth's Leaf Warbler.png,,https://drive.google.com/file/d/0B2IRT-hfS6uXOWZXS1dkUE8xQnM/view?usp=drivesdk&resourcekey=0-QMUfuDSuyvbZzrczDFhdTg,,,Arboreal Birds
White-throated Fantail,White throated fantail.png,Changarh,https://drive.google.com/file/d/1XN2g8sGfyxMkqdH283U2eMoED_RlY6S3/view?usp=drivesdk,,,Aerial Feeders
Gray Bushchat,Grey Bushchat.png,Ṭawkṭawkhip,https://drive.google.com/file/d/1QNDGfMZn6qwpM6By3o5wjWjCeVUiL58a/view?usp=drivesdk,,,Birds in Undergrowth
Streaked Spiderhunter,Streaked spiderhunter.png,Kireuh,https://drive.google.com/file/d/1Qj0CTMJUd-Dx6MbxMvuysI6sg5w2fedw/view?usp=drivesdk,,,Arboreal Birds
White-throated Bulbul,White throated bulbul.png,,https://drive.google.com/file/d/1zKr88RDwCKKjJ-HV7zMxzZMTnkPCQxuO/view?usp=drivesdk,,,Arboreal Birds
Puff-throated Babbler,Puff-throated Babbler.png,Valeisawt,https://drive.google.com/file/d/0B2IRT-hfS6uXZEs0d3JacjRLUlU/view?usp=drivesdk&resourcekey=0-LT7kptBnoFW615mnztVUZg,,,Ground-feeding Birds
Nepal Fulvetta,Nepal Fulvetta.png,,https://drive.google.com/file/d/1NTTehhW_zzo70YELcxyYclXF0c-D8K0H/view?usp=drivesdk,,,Arboreal Birds
